participant,video,FER_Mean_Valence,FER_Mean_Arousal,FER_Std_Valence,FER_Std_Arousal,FER_Kurtosis_Valence,FER_Kurtosis_Arousal,FER_Max_Valence,FER_Max_Arousal,FER_Min_Valence,FER_Min_Arousal
Fyt7d,HP_7_L,0.536409676,-0.03172905,0.305291154,0.018424671,-1.237428932,-1.25330198,0.998206211,-0.000113281,0.001695159,-0.060078985
Fyt7d,HN_7,0.836053995,-0.054756454,0.281828483,0.015186225,1.030418309,2.3825716,0.998367302,-0.000226087,0.001982606,-0.06875764
GHft8,LP_9,,,,,,,,,,
GHft8,LN_3,,,,,,,,,,
GHft8,LP_3,,,,,,,,,,
GHft8,HP_1_L,,,,,,,,,,
GHft8,HP_1_H,,,,,,,,,,
GHft8,HP_4,,,,,,,,,,
GHft8,HN_5,,,,,,,,,,
GHft8,LP_2,,,,,,,,,,
GHft8,HP_9,,,,,,,,,,
GHft8,HN_4,,,,,,,,,,
GHft8,LN_6,,,,,,,,,,
GHft8,LN_2,,,,,,,,,,
GHft8,HP_6,,,,,,,,,,
GHft8,HN_3_H,,,,,,,,,,
GHft8,HN_3_L,,,,,,,,,,
GHft8,LP_4,,,,,,,,,,
GHft8,LN_4,,,,,,,,,,
GHft8,LP_1,,,,,,,,,,
GHft8,HN_9,,,,,,,,,,
GHft8,LN_5,,,,,,,,,,
GHft8,HP_2,,,,,,,,,,
GHft8,LP_6,,,,,,,,,,
GHft8,HN_2_H,,,,,,,,,,
GHft8,HN_2_L,,,,,,,,,,
GHft8,HN_6,,,,,,,,,,
GHft8,HP_3_L,,,,,,,,,,
GHft8,HP_3_H,,,,,,,,,,
GHft8,LN_1,,,,,,,,,,
GHft8,LN_7_N,,,,,,,,,,
GHft8,LN_7_P,,,,,,,,,,
GHft8,LP_5,,,,,,,,,,
GHft8,HN_7,,,,,,,,,,
GHft8,LN_9,,,,,,,,,,
GHft8,HP_5,,,,,,,,,,
GHft8,HN_1,,,,,,,,,,
GHft8,HP_7_H,,,,,,,,,,
GHft8,HP_7_L,,,,,,,,,,
GHft8,LP_7,,,,,,,,,,
hMHEK1,LP_3,0.893077658,-0.13201551,0.231368245,0.043124914,4.605523502,0.20524228,0.994319559,-0.000342177,0.001841089,-0.191027822
