participant,video,FER_Mean_Valence,FER_Mean_Arousal,FER_Std_Valence,FER_Std_Arousal,FER_Kurtosis_Valence,FER_Kurtosis_Arousal,FER_Max_Valence,FER_Max_Arousal,FER_Min_Valence,FER_Min_Arousal,FER_iM_Mean_Valence
5KB3V,HP_2,0.3597156576619641,0.8632685183800181,0.08824183920332698,0.09488014413450038,0.42483555789901395,5.942137057696492,0.4113897205409131,0.9083052145750632,0.1460624189179539,0.4313761171279271,0.9829656330590109
5KB3V,HP_3_H,0.4100421917209535,0.9057800529374503,0.00217207255391725,0.003701051565848254,1.5639824500280088,11.62311355975868,0.4127075755140734,0.9084756206140967,0.4026048033145389,0.8863296158002532,0.9578345268360082
5KB3V,HP_3_L,0.27095548642182526,0.5976912189993039,0.18999272182329704,0.41864967760401123,-1.5273468951973812,-1.5260839882690813,0.41288512610610556,0.9088936535121317,0.0001026467686520625,-0.00023892719029398724,0.6750029658237041
5KB3V,HP_4,0.4115007850008517,0.9081054356317593,0.0011639632955089008,0.0005667664829795877,2.0204516301372593,2.474984312848571,0.4126119655203724,0.9086377467915995,0.4072944572044965,0.9059932181080751,0.9527002261547333
5KB3V,HP_5,0.411971229650089,0.9077419341132943,0.002134158157109046,0.003915268992729232,12.247351499706218,23.612115666090713,0.4129358602562524,0.9089404059028144,0.40131708235717956,0.8846064403325211,0.9630276688285495
5KB3V,HP_6,0.3816765702360564,0.8431196917544829,0.10274410611867883,0.2228516764919856,9.585952570609184,9.76690265739022,0.41226521209442857,0.9084574275743346,0.0,1.312281576132021e-05,0.9079930945384649
5KB3V,HP_7_H,0.11050371681954506,0.28298891288530786,0.18315861479382162,0.41127302915006003,-0.9925290969469511,-1.3333864818537768,0.41070702862985015,0.907553486544599,0.0,-0.0004909858766364125,0.30530133133425436
5KB3V,HP_7_L,0.041108829443037266,0.13185230850529636,0.13936901486680367,0.27572513176611924,3.289551465735059,1.425338124726233,-0.4189472310624958,0.834975202604715,0.0,5.745131246910107e-05,0.1997835615703038
5KB3V,HP_8,0.0001135207851201881,9.49278446442778e-05,0.00011473221084394434,0.00038503000222691225,80.71676635575741,52.18990133819094,-0.0012106719571234042,0.003927375760583886,0.0,-0.002355190300418384,0.0
5KB3V,LN_1,0.00010276198994677592,0.00012102494838467301,8.008212786627996e-06,5.776518780445645e-05,12.552668405382684,15.108195292179218,0.00015663043101315575,0.00021219601156227701,8.337099717343163e-05,-0.000269255660787317,0.0
5KB3V,LN_2,0.00011492807157574417,0.00012590662491772223,2.659472751195635e-05,4.8846401567902594e-05,70.02244033615972,9.058533484759305,0.0004067952753678734,0.00019392512106295058,9.609519104109159e-05,-9.995389241117956e-05,0.0
