,simuli_name_1,Participant,avg_max,avg_min,avg_mean,avg_std,avg_kurtosis,avg_skewness,avg_auc,corr_max,corr_min,corr_mean,corr_std,corr_kurtosis,corr_skewness,corr_auc,diff_max,diff_min,diff_mean,diff_std,diff_kurtosis,diff_skewness,diff_auc
32,LP_3,4FoNM,3.299118042,2.712013245,2.954041875,0.105548785,1.213712897,1.066556432,1125.506403,2.993805155,2.936648633,2.952921303,0.011850847,-0.02585369,0.635295609,1125.070165,0.305312887,-0.224635389,0.001120573,0.093697938,1.239566587,0.431260823,0.436238382
33,LP_4,4FoNM,2.779094696,2.372962952,2.552048837,0.106480927,-0.755965274,0.531765234,472.1975269,2.590189866,2.486434574,2.561044058,0.027167642,-0.467988799,-0.881526236,473.8114426,0.18890483,-0.113471622,-0.008995221,0.079313285,-0.287976475,1.413291469,-1.613915671
34,LP_5,4FoNM,3.074443817,2.615905762,2.918454942,0.096884641,0.179200296,-0.727405816,700.5161228,2.96370535,2.727531217,2.90128207,0.040714126,3.041133928,-1.70882678,696.3764569,0.110738467,-0.111625455,0.017172872,0.056170515,-2.861933632,0.981420964,4.139665919
35,LP_6,4FoNM,3.227333069,2.444271088,2.62862219,0.136730251,6.558782215,2.292901583,630.5834789,2.989975357,2.339823673,2.654082674,0.09524402,5.058098198,0.052893051,636.8216392,0.237357712,0.104447415,-0.025460485,0.041486231,1.500684017,2.240008532,-6.238160269
36,LP_7,4FoNM,3.322460175,2.668170929,2.964601931,0.117939592,-0.209949242,0.304899005,1867.686258,3.112396196,2.893737433,2.987220757,0.039931245,1.539630601,0.217801951,1881.918988,0.210063979,-0.225566504,-0.022618826,0.078008347,-1.749579843,0.087097054,-14.23273
37,LP_9,4FoNM,3.124885559,2.621032715,2.882514237,0.114839852,-0.624596436,-0.334868287,518.9385109,2.908916895,2.679990424,2.815371034,0.029164212,3.292753491,0.223607333,506.7375459,0.215968664,-0.058957709,0.067143203,0.08567564,-3.917349926,-0.55847562,12.20096503
38,HN_1,5KB3V,4.547279358,3.364051819,4.152710984,0.265761659,0.673884144,-1.276252515,2396.325888,4.587741776,3.905881889,4.163242955,0.112589962,,,,-0.040462418,-0.54183007,-0.010531971,0.153171697,,,
39,HN_2_H,5KB3V,4.813316345,4.216815948,4.5501388,0.133824418,-0.889610732,-0.158347853,2015.672533,4.634836183,4.341577353,4.387106817,0.070222828,6.827012232,2.706388203,1943.38199,0.178480163,-0.124761404,0.163031983,0.06360159,-7.716622964,-2.864736056,72.29054297
40,HN_2_L,5KB3V,4.635482788,3.387775421,4.023057883,0.345839245,-1.107679086,-0.164464248,840.8594551,4.42894715,4.341577353,4.373519865,0.024813042,,,,0.206535639,-0.953801932,-0.350461981,0.321026204,,,
41,HN_3_H,5KB3V,4.487121582,3.717407227,4.017615048,0.187886189,-1.291768176,-0.093789222,421.74897,4.376984163,3.950042924,4.083967392,0.180113563,-0.973855541,1.004902934,428.7256309,0.110137419,-0.232635697,-0.066352344,0.007772625,-0.317912635,-1.098692156,-6.976660903
42,HN_3_L,5KB3V,4.261821747,3.387062073,3.949121187,0.211646525,-0.180722061,-0.834815649,1066.428812,3.98484499,3.624978418,3.932966989,0.062288562,,,,0.276976756,-0.237916346,0.016154197,0.149357963,,,
43,HN_4,5KB3V,3.860336304,3.263179779,3.586441326,0.167788008,-0.851729999,-0.478266353,713.6742363,3.547555735,3.481834808,3.520043182,0.020273261,-1.030571475,-0.466570742,700.4982229,0.312780569,-0.218655029,0.066398144,0.147514747,0.178841476,-0.011695612,13.17601336
44,HN_5,5KB3V,4.231227875,3.685070038,3.915982332,0.125651361,-0.217941042,0.319120721,1174.656668,4.076438325,3.788872238,3.865864659,0.06045381,0.599715709,0.860444184,1159.763159,0.15478955,-0.103802201,0.050117673,0.06519755,-0.817656751,-0.541323463,14.8935088
45,HN_6,5KB3V,3.464645386,3.243175507,3.345261085,0.055964001,-0.665523201,0.024149246,133.7563152,3.371190299,3.210184047,3.287790702,0.054630572,-1.413755905,0.318329441,131.5371435,0.093455087,0.032991459,0.057470383,0.001333428,0.748232704,-0.294180196,2.21917174
46,HN_7,5KB3V,3.981266022,3.32490921,3.606995143,0.152015579,-0.428008502,0.521391948,825.8624554,3.824733459,3.372970502,3.675678194,0.08627626,,,,0.156532563,-0.048061292,-0.068683051,0.065739319,,,
47,HN_9,5KB3V,4.180152893,2.952999115,3.68724018,0.245051785,-0.096902899,-0.335230513,3421.782687,4.052624737,3.483105678,3.667941071,0.11815314,-0.471220216,0.855437965,3403.914693,0.127528156,-0.530106564,0.019299109,0.126898645,0.374317318,-1.190668478,17.86799417
