Participant,Video,Modality,RMSE,NRMSE
6GSd4,HN_4,Fusion,0.2001114229012248,0.13174941710381458
6GSd4,HN_5,Fusion,0.16833521278260238,0.11082858659748562
6GSd4,HN_6,Fusion,0.28755851655174586,0.1893228601829019
6GSd4,HN_7,Fusion,0.18725691286099946,0.123286261026059
6GSd4,HP_1_H,Fusion,0.13492723515332142,0.08883343252051112
6GSd4,HP_1_L,Fusion,0.14591429562843283,0.09606709660771716
6GSd4,HP_2,Fusion,0.12817578743357608,0.08438841239728515
6GSd4,HP_3_L,Fusion,0.1543174693915953,0.1015995806062203
6GSd4,HP_3_H,Fusion,0.13580751499377808,0.08941299141918353
6GSd4,HP_4,Fusion,0.1479762594376898,0.09742465294318362
6GSd4,HP_5,Fusion,0.17804359385136884,0.11722039336337445
6GSd4,HP_6,Fusion,0.14731032683953452,0.09698621604455293
6GSd4,HP_7_L,Fusion,0.14769564248965855,0.09723990027491232
6GSd4,HP_7_H,Fusion,0.1397861595195727,0.09203245256506457
6GSd4,LN_1,Fusion,0.03874863826379417,0.02551133978664144
6GSd4,LN_2,Fusion,0.20241248539420095,0.13326439130055848
6GSd4,LN_3,Fusion,0.23564193829745908,0.15514200821622992
6GSd4,LN_4,Fusion,0.10743654252080063,0.07073410226937145
6GSd4,LN_5,Fusion,0.04007134351455606,0.02638218285627496
6GSd4,LN_6,Fusion,0.07641181177078249,0.050308030969407364
6GSd4,LN_7_P,Fusion,0.08207646911050523,0.054037529724556874
6GSd4,LN_7_N,Fusion,0.18270179359668826,0.12028726027332542
6GSd4,LP_1,Fusion,0.16006329919536394,0.1053825217119757
6GSd4,LP_2,Fusion,0.13463655975678773,0.08864205756797462
6GSd4,LP_3,Fusion,0.11328763846289654,0.07458634852604884
6GSd4,LP_4,Fusion,0.12097607968069313,0.0796482667024122
6GSd4,LP_5,Fusion,0.14566188966903132,0.09590091749838618
6GSd4,LP_6,Fusion,0.13715539383303688,0.09030040828337008
6GSd4,LP_7,Fusion,0.15155986856563125,0.09978403056835419
7yqP3,HN_1,Fusion,0.24349564109031324,0.1603127313566869
7yqP3,HN_2_L,Fusion,0.05567359250446872,0.036654396106910896
7yqP3,HN_2_H,Fusion,0.17222910876236,0.11339225097085416
7yqP3,HN_3_L,Fusion,0.06451758542639599,0.04247710675201644
7yqP3,HN_3_H,Fusion,0.09102971599155911,0.05993217102320798
7yqP3,HN_4,Fusion,0.15924828234188287,0.10484593067774514
7yqP3,HN_5,Fusion,0.19022045931884568,0.12523740160924318
7yqP3,HN_6,Fusion,0.3064090673052188,0.20173369129813418
7yqP3,HN_7,Fusion,0.1795949776408226,0.11824179387615642
7yqP3,HP_1_H,Fusion,0.12561014555973415,0.08269924435042827
7yqP3,HP_1_L,Fusion,0.15281343315938517,0.10060935279201645
7yqP3,HP_2,Fusion,0.10754646354682147,0.0708064721066138
7yqP3,HP_3_L,Fusion,0.16769736998033222,0.11040864346688065
7yqP3,HP_3_H,Fusion,0.13738950769915853,0.09045454423898054
7yqP3,HP_4,Fusion,0.15551241244782862,0.10238630756487424
7yqP3,HP_5,Fusion,0.12702760998575635,0.0836324749935685
7yqP3,HP_6,Fusion,0.15295686936095623,0.10070378836033432
7yqP3,HP_7_L,Fusion,0.13756551840195713,0.09057042621693837
7yqP3,HP_7_H,Fusion,0.14265420553147687,0.09392071753673391
7yqP3,LN_1,Fusion,0.023391401595002956,0.015400437819604429
7yqP3,LN_2,Fusion,0.139609882503171,0.09191639525147888
7yqP3,LN_3,Fusion,0.2733417058856071,0.17996279222084646
7yqP3,LN_4,Fusion,0.19631894312535345,0.12925252316040542
7yqP3,LN_5,Fusion,0.09420550769353443,0.0620230496922628
7yqP3,LN_6,Fusion,0.011795889435351963,0.007766181134476125
7yqP3,LN_7_P,Fusion,0.11897512214373332,0.07833087569433334
7yqP3,LN_7_N,Fusion,0.15695217312775722,0.10333421762217873
7yqP3,LP_1,Fusion,0.13185167567485692,0.08680854477207
7yqP3,LP_2,Fusion,0.1350062601834195,0.08888546104292672
7yqP3,LP_3,Fusion,0.14377431010850497,0.09465817231557284
7yqP3,LP_4,Fusion,0.1342672932164945,0.08839893975523691
7yqP3,LP_5,Fusion,0.14497581052514466,0.09544921651108788
7yqP3,LP_6,Fusion,0.18011774572314865,0.11858597407900737
7yqP3,LP_7,Fusion,0.15941901904654346,0.10495834035926722
A5feTy,HN_1,Fusion,0.2752822296915483,0.18124039485143206
A5feTy,HN_2_L,Fusion,0.09198793814931941,0.0605630456075299
A5feTy,HN_2_H,Fusion,0.16632622456550528,0.10950590834787055
