participant,fer_nrmse,fer_r2,fer_corr,fer_p,pupil_nrmse,pupil_r2,pupil_corr,pupil_p,gsr_nrmse,gsr_r2,gsr_corr,gsr_p
KoG5ii,0.3219363268145299,0.037641396219921686,0.22173656049687035,0.1809158285576046,0.29889919645613144,0.17044256665205637,0.4569157092367791,0.003929502409407628,0.28973345005604906,0.22053926982727212,0.5861711317231061,0.00011018598779694835
M4t7k,0.31820567752173157,0.059816743716062604,0.2981681184807494,0.0690274737804515,0.28870991469190094,0.22603724655333068,0.505686252335679,0.001200809396157277,0.33477408296379885,-0.040639537728191844,0.34926989307904244,0.03160870606156677
yb3T2,0.32419118752277537,0.0241135809744788,0.34787423068071616,0.03234229027062545,0.3036290930341791,0.14398055855336644,0.3841621719940331,0.017256055123272565,0.2684065811431354,0.33106613302928856,0.6221313342004822,3.0477981649603543e-05
O1pGR,0.3299828533532511,-0.011067348017160805,0.005312609134512494,0.9747469304340027,0.2855250731127353,0.24301749750039958,0.4937900885387595,0.001629574556968407,0.28222612326891305,0.26040875994603385,0.6055047076824255,5.629220934309543e-05
VckNZ,0.31924835419620673,0.053643970891723125,0.285362191084942,0.08245015666749475,0.29798920992242783,0.17548550179506373,0.4725640612706527,0.0027366803792306937,0.2884026217655061,0.22768294153589697,0.5423524377173495,0.000435681794372359
G4Egk,0.32909731285222327,-0.005645955301324612,-0.09774482227113641,0.5593464742133201,0.2944582204134306,0.19491116305377898,0.47206283696350815,0.002769302087459594,0.2612190045849203,0.36641340647158227,0.6439285398141068,1.2899775085704858e-05
urJvc,0.3114338783867364,0.09940757820781776,0.35122291565245833,0.030605150139525566,0.3056632310140995,0.13247304274820526,0.3998209805479218,0.012881072052563934,0.2514961053301282,0.41270120781383746,0.6600057157908901,6.54511371959519e-06
Fjil72,0.32299548016956536,0.03129905212799755,0.20222062864477924,0.22339238836062292,0.31049503644954013,0.10482868228397801,0.3907891391840267,0.015272396940356293,0.24534037754829988,0.4410989917800987,0.6763102190535939,3.1524569009487606e-06
Pi9803,0.32731108723601565,0.0052401289523689165,0.0832882600238215,0.6190920136770396,0.31369588579938457,0.08627718379803473,0.3061601348835875,0.06156382453301068,0.3806748868709471,-0.3455668484901677,0.2754126144280998,0.09421205088435841
KWgkc,0.3291189242505506,-0.005779049083353138,-0.2134522181266615,0.19818406838768193,0.3232134914336407,0.029990837924039337,0.19732122561230275,0.23504811143915427,0.2686323543145341,0.3299402797111761,0.5887087937243853,0.00010113405278207001
