sec,R_%,G_%,B_%,lux
375,30,10,10,1
376,30,10,20,1
377,30,10,30,1.5
378,30,10,40,2
379,30,10,50,3
380,30,10,60,5.5
381,30,10,70,8
382,30,10,80,11
383,30,10,90,15
384,30,10,100,18
385,30,20,0,1
386,30,20,10,1
387,30,20,20,1
388,30,20,30,2
389,30,20,40,3
390,30,20,50,4
391,30,20,60,6
392,30,20,70,8
393,30,20,80,11
394,30,20,90,16
395,30,20,100,19
396,30,30,0,2
397,30,30,10,2
398,30,30,20,2
399,30,30,30,3
400,30,30,40,3
401,30,30,50,5
402,30,30,60,7
403,30,30,70,9
404,30,30,80,12
405,30,30,90,16
406,30,30,100,20
407,30,40,0,3
408,30,40,10,3
409,30,40,20,4
410,30,40,30,4
411,30,40,40,5
412,30,40,50,6
413,30,40,60,8
414,30,40,70,10.5
415,30,40,80,14
416,30,40,90,18
417,30,40,100,21
418,30,50,0,6
419,30,50,10,6
420,30,50,20,6
421,30,50,30,6
422,30,50,40,7
423,30,50,50,8.5
424,30,50,60,11
425,30,50,70,13
426,30,50,80,16
427,30,50,90,20
428,30,50,100,23
429,30,60,0,9
430,30,60,10,9
431,30,60,20,9
432,30,60,30,10
433,30,60,40,11
434,30,60,50,12
435,30,60,60,13
436,30,60,70,16
437,30,60,80,19
438,30,60,90,23
439,30,60,100,27
440,30,70,0,13
441,30,70,10,14
442,30,70,20,14
443,30,70,30,15
444,30,70,40,15
445,30,70,50,16
446,30,70,60,18
447,30,70,70,21
448,30,70,80,24
449,30,70,90,28
450,30,70,100,31
451,30,80,0,19
452,30,80,10,19
453,30,80,20,19
454,30,80,30,20
455,30,80,40,20
456,30,80,50,21
457,30,80,60,23
458,30,80,70,26
459,30,80,80,30
460,30,80,90,34
461,30,80,100,37
462,30,90,0,27
463,30,90,10,27
464,30,90,20,27
465,30,90,30,28
466,30,90,40,29
467,30,90,50,30
468,30,90,60,31
469,30,90,70,34
470,30,90,80,37
471,30,90,90,42
472,30,90,100,45
473,30,100,0,29
474,30,100,10,29
475,30,100,20,30
476,30,100,30,30
477,30,100,40,31
478,30,100,50,32
479,30,100,60,34
480,30,100,70,36
481,30,100,80,40
482,30,100,90,44
483,30,100,100,47
484,40,0,0,2
485,40,0,10,2
486,40,0,20,2
487,40,0,30,2
488,40,0,40,3
489,40,0,50,4
490,40,0,60,6
491,40,0,70,8
492,40,0,80,12
493,40,0,90,16
494,40,0,100,19
495,40,10,0,2
496,40,10,10,2
497,40,10,20,2
498,40,10,30,2
499,40,10,40,3
500,40,10,50,4
501,40,10,60,6
502,40,10,70,9
503,40,10,80,12
504,40,10,90,16
505,40,10,100,19
506,40,20,0,2
507,40,20,10,2.25
508,40,20,20,2.5
509,40,20,30,2.75
510,40,20,40,3
511,40,20,50,4
512,40,20,60,6
513,40,20,70,9
514,40,20,80,12
515,40,20,90,16
516,40,20,100,19
517,40,30,0,3
518,40,30,10,3
519,40,30,20,3
520,40,30,30,3
521,40,30,40,4
522,40,30,50,5
523,40,30,60,7
524,40,30,70,10
525,40,30,80,12
526,40,30,90,17
527,40,30,100,20
528,40,40,0,4
529,40,40,10,4
530,40,40,20,4
531,40,40,30,5
532,40,40,40,5
533,40,40,50,7
534,40,40,60,8
535,40,40,70,11
536,40,40,80,14
537,40,40,90,19
538,40,40,100,21.5
539,40,50,0,6
540,40,50,10,6
541,40,50,20,6
542,40,50,30,7
543,40,50,40,8
544,40,50,50,9
545,40,50,60,11
546,40,50,70,13
547,40,50,80,17
548,40,50,90,21
549,40,50,100,24
550,40,60,0,9
551,40,60,10,9
552,40,60,20,10
553,40,60,30,10
554,40,60,40,11
555,40,60,50,12
556,40,60,60,14
557,40,60,70,17
558,40,60,80,20
559,40,60,90,24
560,40,60,100,27
561,40,70,0,14
562,40,70,10,14
563,40,70,20,14
564,40,70,30,15
565,40,70,40,16
566,40,70,50,17
567,40,70,60,19
568,40,70,70,21.5
569,40,70,80,25
570,40,70,90,29
571,40,70,100,32
572,40,80,0,19
573,40,80,10,20
574,40,80,20,20
575,40,80,30,21
576,40,80,40,22
577,40,80,50,23
578,40,80,60,24
579,40,80,70,27
580,40,80,80,30
581,40,80,90,34
582,40,80,100,37
583,40,90,0,27.5
584,40,90,10,28
585,40,90,20,29
586,40,90,30,29
587,40,90,40,30
588,40,90,50,32
589,40,90,60,33
590,40,90,70,35
591,40,90,80,38
592,40,90,90,43
593,40,90,100,45.5
594,40,100,0,30
595,40,100,10,30
596,40,100,20,30
597,40,100,30,30
598,40,100,40,31
599,40,100,50,32
600,40,100,60,34
601,40,100,70,37
602,40,100,80,40
603,40,100,90,44
604,40,100,100,47
605,50,0,0,2
606,50,0,10,2
607,50,0,20,2
608,50,0,30,3
609,50,0,40,3
610,50,0,50,4
611,50,0,60,6
612,50,0,70,9
613,50,0,80,12
614,50,0,90,16
615,50,0,100,20
616,50,10,0,2
617,50,10,10,2
618,50,10,20,2
619,50,10,30,3
620,50,10,40,3
621,50,10,50,4.5
622,50,10,60,6
623,50,10,70,9
624,50,10,80,13
625,50,10,90,17
626,50,10,100,20
627,50,20,0,2
628,50,20,10,2
629,50,20,20,2
630,50,20,30,3
631,50,20,40,4
632,50,20,50,5
633,50,20,60,7
634,50,20,70,10
635,50,20,80,13
636,50,20,90,17
637,50,20,100,20
638,50,30,0,3
639,50,30,10,3
640,50,30,20,3
641,50,30,30,4
642,50,30,40,4.5
643,50,30,50,6
644,50,30,60,8
645,50,30,70,10
646,50,30,80,14
647,50,30,90,18
648,50,30,100,21
649,50,40,0,4
650,50,40,10,5
651,50,40,20,5
652,50,40,30,6
653,50,40,40,6
654,50,40,50,7
655,50,40,60,9
656,50,40,70,12
657,50,40,80,15
658,50,40,90,19
659,50,40,100,22
660,50,50,0,7
661,50,50,10,7.25
662,50,50,20,7.5
663,50,50,30,7.75
664,50,50,40,8
665,50,50,50,9
666,50,50,60,11
667,50,50,70,14
668,50,50,80,17
669,50,50,90,22
670,50,50,100,24.5
671,50,60,0,10
672,50,60,10,10
673,50,60,20,11
674,50,60,30,11
675,50,60,40,12
676,50,60,50,13
677,50,60,60,15
678,50,60,70,17
679,50,60,80,21
680,50,60,90,25
681,50,60,100,28
682,50,70,0,15
683,50,70,10,15
684,50,70,20,15
685,50,70,30,16
686,50,70,40,17
687,50,70,50,18
688,50,70,60,20
689,50,70,70,22
690,50,70,80,26
691,50,70,90,30
692,50,70,100,33
693,50,80,0,20
694,50,80,10,20
695,50,80,20,21
696,50,80,30,22
697,50,80,40,22
698,50,80,50,23
699,50,80,60,25
700,50,80,70,27
701,50,80,80,31
702,50,80,90,35
703,50,80,100,38
704,50,90,0,28
705,50,90,10,28
706,50,90,20,28
707,50,90,30,29
708,50,90,40,30
709,50,90,50,31
710,50,90,60,33
711,50,90,70,36
712,50,90,80,40
713,50,90,90,43
714,50,90,100,46
715,50,100,0,30.5
716,50,100,10,31
717,50,100,20,31
718,50,100,30,32
719,50,100,40,32
720,50,100,50,33
721,50,100,60,35
722,50,100,70,36
723,50,100,80,41
724,50,100,90,45.5
725,50,100,100,48
726,60,0,0,3
727,60,0,10,3
728,60,0,20,3
729,60,0,30,4
730,60,0,40,4
731,60,0,50,6
732,60,0,60,7
733,60,0,65,9
734,60,0,70,10
735,60,0,75,11
,60,0,80,13
,60,0,85,15
,60,0,90,17
,60,0,95,21
736,60,0,100,21
737,60,10,0,4
738,60,10,10,4
739,60,10,20,4
740,60,10,30,4
741,60,10,40,5
742,60,10,50,6
743,60,10,60,8
744,60,10,70,11
745,60,10,80,14
746,60,10,90,18
747,60,10,100,21
748,60,20,0,5
749,60,20,10,5
750,60,20,20,4.5
751,60,20,30,4.75
752,60,20,40,5
753,60,20,50,6
754,60,20,60,8
755,60,20,70,11
756,60,20,80,14
757,60,20,90,18
758,60,20,100,21
759,60,30,0,5
760,60,30,10,5
761,60,30,20,5
762,60,30,30,5
763,60,30,40,6
764,60,30,50,7
765,60,30,60,9
766,60,30,70,12
767,60,30,80,15
768,60,30,90,19
769,60,30,100,22
770,60,40,0,6
771,60,40,10,6
772,60,40,20,6
773,60,40,30,7
774,60,40,40,7
775,60,40,50,8
776,60,40,60,11
777,60,40,70,13
778,60,40,80,16
779,60,40,90,21
780,60,40,100,24
781,60,50,0,8
782,60,50,10,8
783,60,50,20,8.5
784,60,50,30,9
785,60,50,40,10
786,60,50,50,11
787,60,50,60,13
788,60,50,70,15
789,60,50,80,19
790,60,50,90,23
791,60,50,100,26
792,60,60,0,12
793,60,60,10,12
794,60,60,20,12
795,60,60,30,12
796,60,60,40,13
797,60,60,50,14
798,60,60,60,16
799,60,60,65,17
800,60,60,70,18.5
801,60,60,75,20
,60,60,80,22
,60,60,85,24
,60,60,90,26
,60,60,95,29
802,60,60,100,29
,60,65,0,13
,60,65,60,18
,60,65,65,19
,60,65,70,21
,60,65,75,22
,60,65,80,24
,60,65,85,26.5
,60,65,90,28
,60,65,95,31
,60,65,100,31
803,60,70,0,16
804,60,70,10,16
805,60,70,20,17
806,60,70,30,17
807,60,70,40,18
808,60,70,50,19
809,60,70,60,21
810,60,70,65,22
811,60,70,70,23
812,60,70,75,25
,60,70,80,27
,60,70,85,29
,60,70,90,31
,60,70,95,34
813,60,70,100,34
,60,75,0,18
,60,75,60,23
,60,75,65,24
,60,75,70,26
,60,75,75,28
,60,75,80,30
,60,75,85,32
,60,75,90,34
,60,75,95,37
,60,75,100,37
814,60,80,0,21
815,60,80,10,21
816,60,80,20,22
817,60,80,30,23
818,60,80,40,24
819,60,80,50,25
820,60,80,60,26
821,60,80,65,27
822,60,80,70,29
823,60,80,75,30
,60,80,80,33
,60,80,85,34
,60,80,90,37
,60,80,95,39
824,60,80,100,40
,60,85,0,25
,60,85,60,30
,60,85,65,31
,60,85,70,33
,60,85,75,34
,60,85,80,36
,60,85,85,38
,60,85,90,40
,60,85,95,43
,60,85,100,43
825,60,90,0,30
826,60,90,10,30
827,60,90,20,31
828,60,90,30,31
829,60,90,40,32
830,60,90,50,33
831,60,90,60,34
832,60,90,65,36
833,60,90,70,37
834,60,90,75,39
,60,90,80,40
,60,90,85,42
,60,90,90,45
,60,90,95,47
835,60,90,100,48
,60,95,0,32
,60,95,60,36
,60,95,65,38
,60,95,70,39
,60,95,75,41
,60,95,80,42
,60,95,85,45
,60,95,90,47
,60,95,95,49
,60,95,100,49
836,60,100,0,32
837,60,100,10,33
838,60,100,20,33
839,60,100,30,34
840,60,100,40,35
841,60,100,50,36
842,60,100,60,36
843,60,100,65,38
844,60,100,70,39
845,60,100,75,41
,60,100,80,43
,60,100,85,45
,60,100,90,46.5
,60,100,95,49
846,60,100,100,50
847,70,0,0,5
848,70,0,10,5
849,70,0,20,5
850,70,0,30,5.5
851,70,0,40,6
852,70,0,50,7
853,70,0,60,9
854,70,0,65,10
855,70,0,70,11
856,70,0,75,13
,70,0,80,15
,70,0,85,17
,70,0,90,19
,70,0,95,22
857,70,0,100,23
858,70,10,0,5
859,70,10,10,5
860,70,10,20,5
861,70,10,30,6
862,70,10,40,6
863,70,10,50,7
864,70,10,60,9.5
865,70,10,70,12
866,70,10,80,15
867,70,10,90,19
868,70,10,100,23
869,70,20,0,5
870,70,20,10,5
871,70,20,20,6
