,Participant,R2_Pupil_size,RMSE_Pupil_size,NRMSE_Pupil_size,Corr_Pupil_size,P_value_Pupil_size,R2_FER_Mean_Arousal,RMSE_FER_Mean_Arousal,NRMSE_FER_Mean_Arousal,Corr_FER_Mean_Arousal,P_value_FER_Mean_Arousal
19,GHft8,0.08000840310807611,0.328349459351625,0.3206456275051854,0.2828575668213173,1.7014683924057927e-32,,,,,
20,Gax8,0.47589390416877264,0.48129902698731564,0.4700066472797718,0.6898506390290384,1.4424325143722456e-252,0.054985657761273066,0.7262121331731886,0.7091735299427832,0.2344902082417792,9.84070903261362e-24
21,Gftw5,0.5784591475048186,0.4391324792587254,0.4288294235290172,0.7605650185913224,0.0,0.04367342124517071,1.5456570173001758,1.5093923565418998,0.20898186822107412,4.483902029869559e-19
22,Hx7dO,0.5054358583953207,0.2691241836422191,0.2628099126801654,0.71094012293253,4.68481350589412e-275,0.01098542301179839,3.469491777321303,3.3880895380794067,0.10481136871445934,9.055783131581043e-06
23,KWgkc,0.2731895875438758,0.32121535048476946,0.31367890120443176,0.5226754131809489,8.809727454550287e-126,0.03498709514131115,0.6009228640515,0.5868238346013674,-0.18704837647334388,1.5896652964817519e-15
24,KoG5ii,0.3738425210758405,0.22263794660357986,0.21741434944384208,0.6114266277124676,1.3526253521947284e-183,0.033857886037455986,1.2283790046085028,1.1995584141501316,0.18400512503040783,4.5841007387479495e-15
25,LR96S,0.45455749469282225,0.4002291225036089,0.39083882880279297,0.6742087916163821,4.238235127515843e-237,0.048889312446512845,0.7967782988029829,0.7780840513844207,0.22110927716066733,3.229041070000057e-21
26,M4t7k,0.4978952231218302,0.3009427731283823,0.29388196503641734,0.7056169096059348,3.4350330901859607e-269,0.06907585299292751,2.05398747086485,2.0057962110970324,0.2628228547766107,1.333069190097286e-29
27,NMy2s,0.5479913577843812,0.8013317433911114,0.7825306617127995,0.7402643837065113,6.27314387308207e-310,0.17229145913834132,3.056092063598851,2.98438913035299,0.4150800635279194,2.532578214968703e-75
28,O1pGR,0.5478361568118838,0.4564604656138528,0.44575085555821115,0.7401595482136833,8.5219238934875e-310,0.006271199235969194,0.6431872023096187,0.628096554491408,0.07919090374512308,0.0008092468392945781
29,PPjCX,0.494630909638333,0.22332360349499433,0.21808391925106815,0.7033000139615617,1.1161740610072898e-266,0.04999871446862025,1.7862886686881332,1.7443782371620769,0.22360392319595027,1.1276620041252475e-21
30,Pi9803,0.31800578407523583,0.2846401345333446,0.277961823755788,0.5639200156717583,1.8064295494485174e-150,0.020470273573645614,1.7812880157998485,1.7394949110665632,0.14307436378906485,1.2513910699265267e-09
31,VckNZ,0.42784771972696767,0.22804625603867826,0.22269576752804932,0.6541006954032136,1.4474025791912818e-218,0.007935822012559601,1.170342083306052,1.142883172210522,0.08908323081567962,0.0001634992662140324
32,WQzBV,0.20946562083454445,0.25741116389370283,0.25137170725518965,0.45767414263266426,3.6310458204859583e-93,0.04002230997468459,0.6340401357215256,0.6191640990770991,-0.20005576716177104,1.400615186532913e-17
33,WYuvqk,0.37486261352314965,0.36320506280308884,0.3546834385094605,0.6122602498310252,3.154734655778863e-184,,,,,
34,XPI3pA,0.47476139475528756,0.24942771137563702,0.2472727295377158,0.6890293134223591,5.351865386436805e-232,,,,,
35,Xd3foP9,0.49356968269012136,0.29335747924916106,0.29082295717736034,0.7025451463714779,6.462553152906436e-259,0.11042346311834939,3.4463693990709197,3.365509663886385,0.3323002604849258,2.656041256830712e-47
36,XhsN0o,0.5506317989489901,0.3218705568015919,0.3143187348774268,0.7420456852168806,3.36385618947e-312,0.05151030451720162,0.6770257268537883,0.6611411495936511,0.22695881678666108,2.685105399583387e-22
