,Participant,Intercept,Coef_Pupil_Size,Coef_FER_Mean_Arousal,R2,RMSE,NRMSE,Correlation,P_value
19,4FoNM,0.01713726151747319,0.16595321407590802,0.14015763302391723,0.06895032464291118,0.2386231165846566,0.33318828143256607,0.46685856192599506,0.0031286309268071704
20,8vDRG,-0.10368536404622772,0.744805200181566,0.12595139174741649,0.13553288562637456,0.26098685112151315,0.321053367812241,0.37862015142303385,0.01907701223603728
21,NMy2s,0.017792963970685707,0.17618187237237323,0.14374473190490242,0.2282288609157498,0.22208707421224927,0.3033528853833714,0.5414855627725903,0.00044685314097398513
22,WQzBV,-0.08052304950392149,0.7635740267437362,0.1238065493668109,0.04224423799320265,0.25562458188659576,0.3379333080655916,0.2638063261835997,0.10951354189953841
23,Cr1sTi,0.016714734487289825,0.1757151716996944,0.13897316546439206,0.1455529422639006,0.2784194678897158,0.3191877193427713,0.45607033728312685,0.004005160916483892
24,EXAMPLE,-0.07671529514408724,0.7541868493468165,0.1299116567190539,0.23228289682884073,0.19407807952708192,0.30255490491606996,0.5237070777420877,0.0007400564544243442
25,Gftw5,-0.0821714412723709,0.7616938783754703,0.11678493196643012,0.21955202543496666,0.304873008326736,0.30505298959059446,0.4751837500955391,0.0025715893757190405
26,6GSd4,-0.07377871977989485,0.7481965656889101,0.13605032802112235,0.16581405963418372,0.21408735755236624,0.31538070002499363,0.4400707331893699,0.005695664447029481
27,D9Hh9,-0.08104486416026635,0.7634249274250519,0.12227080178538396,0.2445275160039705,0.2079955852122885,0.3001327324956689,0.4998602307686717,0.001396395260471919
28,kH4Dd,-0.07768325141507537,0.7527531516219317,0.12569783419783678,0.10012991150383488,0.24705376108762458,0.33092683699790715,0.32280256026739323,0.05133607110865442
29,F8mDn,-0.0847627320428021,0.76464620177724,0.11083756628028316,0.20431204942694137,0.1536946555333067,0.3080170498141346,0.4720200706213741,0.0027721011691963435
30,KoG5ii,-0.0825180107076329,0.7616601244620415,0.11555017890405514,0.10988542079031716,0.1873718277663261,0.32578132816072114,0.3594372651931851,0.026666718968607554
31,M4t7k,-0.08101398516158032,0.7626743369228562,0.11964676137785474,0.1810988111016657,0.2681325032748849,0.3124777886513398,0.46222462913039164,0.0034821587863463352
32,yb3T2,0.01325276501161813,0.17903064088474233,0.13385087281799646,0.08515630759999993,0.235580819125747,0.33027586326047376,0.3852396606662777,0.016919535406452323
33,O1pGR,0.015107371274663842,0.16499041420992602,0.13319609211783273,0.055489330729423525,0.21818342757223902,0.3355883356080409,0.4420219868441957,0.005461067332856973
34,VckNZ,-0.07649770717282385,0.7558575983201092,0.13190339197567738,0.17327001834377864,0.24058791530724055,0.3139682640013788,0.4737764618352576,0.002659158138537817
35,G4Egk,-0.08207740276885979,0.7664462453266482,0.12102955940657112,0.15954011945424496,0.23515166775042823,0.31656444561622704,0.4120595959933009,0.01015245529286885
36,urJvc,0.01571806312288092,0.1661477112791909,0.13355715380843472,0.12703057165582066,0.2668454429110008,0.32262856748656243,0.4276583786380615,0.007401602045041991
37,Fjil72,-0.027547001328452596,0.725647670768941,0.12806285026405578,0.17344425631810378,0.2722011226231297,0.31393501574642835,0.45918781494388855,0.003732279577122715
38,Pi9803,0.01697552036557801,0.1674938074049365,0.13910652177083888,0.0676983701126943,0.24863214431970376,0.333412645138053,0.26888563232356916,0.10260084783733979
39,uksXB,-0.07316163628278677,0.760063185897444,0.14380189998593984,0.17706340478924898,0.18578693183581418,0.3132467013810703,0.42260621050648783,0.00821230598785491
40,KWgkc,-0.07646986849064749,0.7596473771959557,0.1349556840602648,0.10708365530390762,0.27960978263184905,0.3262939654437478,0.33397063925622145,0.04044102934209118
