,Participant,Intercept,Coef_Pupil_Size,Coef_FER_Mean_Arousal,R2,RMSE,NRMSE,Correlation,P_value
21,NMy2s,-0.10979078717904477,0.5852852840067205,0.07300689371223427,0.5749889960294867,0.16480830889224307,0.22511474931600675,0.7584827764696987,3.4538069346818646e-08
22,WQzBV,-0.17476030535485773,0.8481832442455935,0.05229551085433787,0.19217253112757315,0.2347656411454104,0.3103579833632902,0.4648267752012774,0.003279583599158466
23,Cr1sTi,-0.10690970212339061,0.5590942541244043,0.06299740046207575,0.37872346845454574,0.23741026572955862,0.2721736444694146,0.7212271266541215,3.2531211243414105e-07
24,EXAMPLE,-0.17506273300450362,0.8573831269403014,0.05920164711535168,0.46719258915393214,0.16168175196643295,0.2520511703952723,0.7064662551800799,7.185467556000438e-07
25,Gftw5,-0.17413436041232083,0.8372496755927203,0.04851539517043568,0.5715839349001792,0.22588108816028066,0.22601443667792065,0.7688517521710678,1.7211396484789264e-08
26,6GSd4,-0.1740127791609126,0.8577794086667119,0.06054750240946121,0.2755048468612258,0.19951581705933172,0.29391477745172034,0.6280294554010191,2.4307828999961843e-05
27,D9Hh9,-0.17684336698177514,0.8574815713645585,0.05182610959724634,0.20955499226731356,0.2127554147506935,0.30700105445604625,0.5239901155838148,0.0007342941244939625
28,kH4Dd,-0.1722441695754212,0.8408824120185495,0.054941074369076096,0.47013952751856913,0.18957554927476325,0.25393516219891643,0.7640371911033165,3.752472613914034e-08
29,F8mDn,-0.17651034821565956,0.8406143722261099,0.04236479316747929,0.5487374845401712,0.11574493761524658,0.23196261503994456,0.7640749423711786,2.3826603943421625e-08
30,KoG5ii,-0.17446887779978612,0.836823731673014,0.04619404476793211,0.36089768711068215,0.1587693002347781,0.2760504293427723,0.6251710416599717,2.713984934232489e-05
31,M4t7k,-0.17374249086935672,0.8405523567877833,0.05070243494848431,0.4844836675549241,0.21274282722707166,0.2479274515078013,0.719197811944596,3.6382260116713654e-07
32,yb3T2,-0.10726378370895574,0.5618504210102173,0.0637842063984046,0.3672347204157501,0.1959240722601754,0.27467852577886176,0.6321386988669199,2.070615137861323e-05
33,O1pGR,-0.10633965215851947,0.5539854469022576,0.06304529538303377,0.472387806977387,0.16307062575475767,0.25081923266368117,0.7508806175477567,5.632523150865376e-08
34,VckNZ,-0.17274558891352612,0.8496342297867007,0.06051215634321498,0.3652570295924089,0.21080985768700325,0.2751077707616439,0.6502343134979609,9.932454507083834e-06
35,G4Egk,-0.17522734773096219,0.8451191277909544,0.050116197518068874,0.4529659318719982,0.1897128536350161,0.2553940820907996,0.7073724374137745,6.853783061440223e-07
36,urJvc,-0.10622487399984161,0.5564799189052938,0.06314434579636667,0.3310312718407942,0.23359480565870627,0.2824269985645066,0.6922671309062308,1.4736530286540698e-06
37,Fjil72,-0.18079346772819394,0.8815350885505336,0.05861529143792965,0.345118177366208,0.24228989735810874,0.2794377995554052,0.6779360678408981,2.9236516180034247e-06
38,Pi9803,-0.10640974610995682,0.562035662947003,0.06735836535896726,0.21451659323609817,0.22821677363768636,0.306035884344755,0.5420739582003811,0.0004392430280418325
39,uksXB,-0.1776767145428699,0.8826039194025853,0.06783044427704962,0.43516090176660094,0.1529188330503476,0.2578293293222362,0.7129453851586685,1.0665415899239364e-06
40,KWgkc,-0.1748051389946282,0.8593731035269992,0.06110558994474546,0.2758601293374068,0.251801437768885,0.2938426862633237,0.5309384184585992,0.0006047797627990696
