participant,video,FER_Mean_Valence,FER_Mean_Arousal,FER_Std_Valence,FER_Std_Arousal,FER_Kurtosis_Valence,FER_Kurtosis_Arousal,FER_Max_Valence,FER_Max_Arousal,FER_Min_Valence,FER_Min_Arousal
Gftw5,LP_2,0.911124807,-0.110111619,0.21678517,0.04046605,6.377682235,0.017684522,0.996955667,-0.000117775,0.001621883,-0.154857321
Gftw5,LN_5,0.948313864,-0.104573573,0.168917141,0.021272777,14.77823568,10.23951726,0.995135287,-0.00016918,0.001719183,-0.121512287
Gftw5,HN_9,0.964120406,-0.136256325,0.129684508,0.02275062,29.68688532,17.54458734,0.992750258,-0.000164664,0.001764258,-0.158184693
Gftw5,LP_9,0.887405764,-0.006524286,0.256278434,0.07703011,3.57741813,-1.542410605,0.999999979,0.077957905,0.001608297,-0.128425051
Gftw5,HP_9,0.442671364,0.811147872,0.131864472,0.290215149,11.29473859,5.059805247,0.999999434,0.90923595,0.001601834,-0.100394936
Gftw5,HP_5,0.597589236,0.448752758,0.278403801,0.485334907,-1.231329728,-1.966923643,0.999999411,0.908877944,0.001768897,-0.100252619
Gftw5,LP_6,0.941597841,-0.110906187,0.18290376,0.024270322,12.88207784,7.995068625,0.994466378,-0.000180353,0.001730983,-0.158825844
Gftw5,HN_4,0.5224105,0.627805641,0.230405971,0.4485102,0.354394,-1.008827691,0.999989491,0.908665221,0.001698092,-0.121750934
Gftw5,HP_7_H,0.508563619,0.471892859,0.218851893,0.421209506,0.217466062,-1.894878929,0.993232583,0.890506097,0.001495777,-0.023066595
Gftw5,HP_7_L,0.527840454,-0.039008624,0.302988066,0.021435817,-1.234928364,-1.286941582,0.998115086,-0.000141619,0.001613152,-0.069722419
Gftw5,LN_6,-0.015801017,0.778902669,0.412112364,0.402546748,1.180398037,0.688241294,0.99999844,1,,-0.10515628
Gftw5,HP_4,0.935049143,-0.081937057,0.192399923,0.01641379,9.94857512,10.43887601,0.996451137,-0.000173131,0.001676529,-0.094086575
Gftw5,HN_7,0.874568569,-0.054833604,0.258429731,0.016653609,2.699494359,2.163044829,0.998220204,-0.000106595,0.00160026,-0.064355344
Gftw5,HN_3_H,0.947518597,-0.088313707,0.172327393,0.015990985,13.95876434,14.21975726,0.995893526,-0.000130539,0.001618778,-0.098120512
Gftw5,HN_3_L,0.947394802,-0.086029754,0.173216447,0.016054446,13.73802513,13.07080618,0.996093191,-0.000147046,0.001642121,-0.093057106
Gftw5,HN_1,0.9265454,-0.07385191,0.204517355,0.016881485,8.077595253,7.749245468,0.996969373,-0.000119454,0.001630493,-0.081927392
