participant,video,Pupil_size
Hx7dO,HP_7_H,0.051701815659650485
Hx7dO,HP_7_L,-0.07017606475054539
Hx7dO,HP_9,9.273874871595922e-05
Hx7dO,LN_1,2.614554076929565e-05
Hx7dO,LN_2,0.00012143692125121675
Hx7dO,LN_3,9.946684598105549e-05
Hx7dO,LN_4,0.0003892211969942494
Hx7dO,LN_5,-0.0004319229126115154
Hx7dO,LN_6,-1.4795395406608236e-06
Hx7dO,LN_7_N,0.08659301355670257
Hx7dO,LN_7_P,-0.15160775771523705
Hx7dO,LN_9,5.786029271348525e-05
Hx7dO,LP_1,0.0003333710515045496
Hx7dO,LP_2,0.00011714273297602773
Hx7dO,LP_3,1.4872960361067555e-05
Hx7dO,LP_4,-1.9333540068888766e-05
Hx7dO,LP_5,0.0013220854587232544
Hx7dO,LP_6,0.00037136888882205454
Hx7dO,LP_7,-8.517900436322279e-05
Hx7dO,LP_9,-0.00021228894513569685
wohkw,HN_1,-0.001493414839065288
wohkw,HN_2_H,0.18371507814577281
wohkw,HN_2_L,-0.4501992929807863
wohkw,HN_3_H,0.004965459421740537
wohkw,HN_3_L,0.014885803276313947
wohkw,HN_4,-3.41089255999627e-05
wohkw,HN_5,-0.00016927666343224956
wohkw,HN_6,3.0594427065544494e-05
wohkw,HN_7,-0.0004147038905677469
wohkw,HN_9,1.7137185177151792e-05
wohkw,HP_1_L,-0.046953707750923
wohkw,HP_1_H,0.01886867044658791
wohkw,HP_2,0.00021480062306133973
wohkw,HP_3_L,-0.02924513127823669
wohkw,HP_3_H,0.16693971475430214
wohkw,HP_4,0.0003493249295796197
wohkw,HP_5,0.0008133437638453422
wohkw,HP_6,0.0009431964996191589
wohkw,HP_7_H,0.08477611610983216
wohkw,HP_7_L,-0.15177503739794496
wohkw,HP_9,6.553717236901235e-06
wohkw,LN_1,-1.4106576196049048e-06
wohkw,LN_2,3.78247954779809e-05
wohkw,LN_3,-0.00027009358057084043
wohkw,LN_4,0.00022729158211287626
wohkw,LN_5,1.5443836004269684e-05
wohkw,LN_6,3.556508182178675e-05
wohkw,LN_7_N,0.10549651841239349
wohkw,LN_7_P,-0.20256679360607688
wohkw,LN_9,-5.327623667206183e-05
wohkw,LP_1,0.0006490743169078605
wohkw,LP_2,-0.00035359497517806204
wohkw,LP_3,-0.0003570663119392137
wohkw,LP_4,-1.2786422103783224e-05
wohkw,LP_5,0.0015209648069371973
wohkw,LP_6,-2.526478050546288e-05
wohkw,LP_7,-0.0004369579999741191
wohkw,LP_9,-0.00042534057973808714
WYuvqk,HN_1,0.003100403512342975
WYuvqk,HN_2_H,0.32114620212676304
WYuvqk,HN_2_L,-0.7556717987950368
WYuvqk,HN_3_H,0.07032918044601466
WYuvqk,HN_3_L,-0.04378011226205958
WYuvqk,HN_4,-2.860708119900579e-05
WYuvqk,HN_5,-0.0002851600652746811
WYuvqk,HN_6,-0.0002056071061189435
WYuvqk,HN_7,4.941041401762547e-05
WYuvqk,HN_9,-1.9605419424362225e-05
WYuvqk,HP_1_L,0.03881180158437125
WYuvqk,HP_1_H,-0.016281058959561445
WYuvqk,HP_2,-4.869677656671456e-07
WYuvqk,HP_3_L,-0.023402933812830096
WYuvqk,HP_3_H,0.134859276493414
WYuvqk,HP_4,7.648949495830948e-05
WYuvqk,HP_5,0.0005860961378152396
WYuvqk,HP_6,0.0007371336852912691
WYuvqk,HP_7_H,0.03324237863518942
WYuvqk,HP_7_L,-0.05926462793790943
WYuvqk,HP_9,-1.884119613970725e-05
WYuvqk,LN_1,7.333954412658272e-07
WYuvqk,LN_2,8.596805560134868e-05
WYuvqk,LN_3,-0.00016229412202051208
WYuvqk,LN_4,0.00014850080385242492
WYuvqk,LN_5,-4.052832005996265e-06
WYuvqk,LN_6,-3.5489077697903326e-05
WYuvqk,LN_7_N,0.08592870468246883
WYuvqk,LN_7_P,-0.1709882011307382
WYuvqk,LN_9,-0.00018202194098826396
WYuvqk,LP_1,0.00018550597020805526
WYuvqk,LP_2,-0.00035278813834827005
WYuvqk,LP_3,0.00030670979108027296
WYuvqk,LP_4,4.55426189889252e-05
WYuvqk,LP_5,5.248298154603148e-05
WYuvqk,LP_6,-4.173509653426777e-07
WYuvqk,LP_7,-1.5711611954127847e-05
WYuvqk,LP_9,-0.00010705460351045915
G4dLl,HN_1,0.00018867213163797913
G4dLl,HN_2_H,0.31704807782905053
G4dLl,HN_2_L,-0.4854364278275085
G4dLl,HN_3_L,0.0017999823101302326
G4dLl,HN_4,0.0005686918701526267
G4dLl,HN_5,0.0010918138157975932
G4dLl,HN_6,0.0005952919008738178
G4dLl,HN_7,7.23507877182783e-05
G4dLl,HN_9,-1.2774338217447223e-05
G4dLl,HP_1_L,0.001671429590072826
G4dLl,HP_1_H,-0.000666019556871511
G4dLl,HP_2,0.0002699189370432009
G4dLl,HP_3_L,-0.028126067311809333
G4dLl,HP_3_H,0.27002530270573644
G4dLl,HP_4,-0.0005007653988551297
G4dLl,HP_5,0.0006460276331932135
G4dLl,HP_6,0.0007246980413251336
G4dLl,HP_7_H,0.12465955955437558
G4dLl,HP_7_L,-0.17562845418398743
G4dLl,HP_9,0.006646059306445906
G4dLl,LN_1,-1.1752753259486326e-06
G4dLl,LN_2,0.00012543329876990583
G4dLl,LN_3,-0.0006511943126401576
G4dLl,LN_4,0.0002470363939375275
G4dLl,LN_5,-0.0006319999310759883
G4dLl,LN_6,0.00022135962949221266
G4dLl,LN_7_N,0.12183229988202093
G4dLl,LN_7_P,-0.2387664414681332
G4dLl,LN_9,-0.00032321233475851585
G4dLl,LP_1,0.0004088269012454404
G4dLl,LP_2,9.004165401371722e-05
G4dLl,LP_3,-0.0006170409745402949
G4dLl,LP_4,7.275488649316486e-06
G4dLl,LP_5,0.0012316962523177821
G4dLl,LP_6,-0.0005907019400184232
G4dLl,LP_7,3.7445306734440464e-05
G4dLl,LP_9,-0.0005693058431175402
GFGzP,HN_3_H,0.09969184983197721
GFGzP,HN_3_L,-0.09683982336050256
GFGzP,HN_4,-0.0020546548738025194
GFGzP,HN_6,0.00018296865841627152
GFGzP,HN_7,0.00036958828485467166
GFGzP,HN_9,-5.2859294870089e-06
GFGzP,HP_1_L,0.03375754386276686
GFGzP,HP_1_H,-0.014168357673970178
GFGzP,HP_2,0.00020328201390729106
GFGzP,HP_3_L,-0.05319460372658158
GFGzP,HP_3_H,0.3116781934968422
GFGzP,HP_4,0.00031956479257200243
GFGzP,HP_5,0.00126885756252193
GFGzP,HP_6,0.0009037051994900125
GFGzP,HP_7_H,0.10817753294633325
GFGzP,HP_7_L,-0.20574158967282674
GFGzP,HP_9,9.190991151264427e-06
GFGzP,LN_1,-3.213473782093246e-05
GFGzP,LN_2,0.00017408559173848204
GFGzP,LN_3,-0.0021034437160141195
GFGzP,LN_4,-3.06619881467185e-05
GFGzP,LN_5,1.6937778454906294e-05
GFGzP,LN_6,0.001037627354727455
GFGzP,LN_7_N,0.07620415548755055
GFGzP,LN_7_P,-0.14511324050558727
GFGzP,LN_9,-1.9664481112791066e-05
GFGzP,LP_1,0.0006647661951184602
GFGzP,LP_2,-0.000431203056972862
GFGzP,LP_3,0.0014857481459094046
GFGzP,LP_4,0.0005107194295521644
GFGzP,LP_5,0.0017951882882192294
GFGzP,LP_6,0.00011238707582039709
GFGzP,LP_7,-9.50386166476136e-06
GFGzP,LP_9,-4.571126114516488e-05
h2yD5h,HN_1,0.002753833046313048
h2yD5h,HN_2_H,0.18105714978851228
h2yD5h,HN_2_L,-0.4514121856437687
h2yD5h,HN_3_H,0.049600687771049756
h2yD5h,HN_3_L,-0.04150968263685062
h2yD5h,HN_4,3.1179168358264064e-06
h2yD5h,HN_5,2.193422709328985e-05
h2yD5h,HN_6,-0.00034977563151183944
h2yD5h,HN_7,-0.00013681345710025994
h2yD5h,HN_9,-4.133237258763245e-05
h2yD5h,HP_1_L,-0.025968188622417898
h2yD5h,HP_1_H,0.011993669099276794
h2yD5h,HP_2,0.00033087099796391684
h2yD5h,HP_3_L,-0.012736410563074951
h2yD5h,HP_3_H,0.07320329916567214
h2yD5h,HP_4,0.0001119382429650706
h2yD5h,HP_5,0.001148786431148796
h2yD5h,HP_6,0.0006771072402411704
h2yD5h,HP_7_H,-0.006406419793070217
h2yD5h,HP_7_L,0.012270349637226285
h2yD5h,HP_9,1.569969430281759e-05
h2yD5h,LN_1,0.00011014474666870555
h2yD5h,LN_2,8.528219269843262e-05
h2yD5h,LN_3,-6.527593609639837e-06
h2yD5h,LN_4,0.00029671836193667644
h2yD5h,LN_5,-0.0004780302609708187
h2yD5h,LN_6,-2.9656753556039916e-05
h2yD5h,LN_7_N,0.15035014676513914
h2yD5h,LN_7_P,-0.3093455561457814
h2yD5h,LN_9,4.306923618635494e-06
h2yD5h,LP_1,0.0003516306935447133
h2yD5h,LP_2,-0.00034889284922146047
h2yD5h,LP_3,-0.0019806274026614723
h2yD5h,LP_4,-6.78588821578785e-05
h2yD5h,LP_5,0.002151294251430791
h2yD5h,LP_6,2.6419715396297505e-05
h2yD5h,LP_7,1.1781599579041568e-05
h2yD5h,LP_9,-0.0003007779331976046
PPjCX,HN_1,0.001752878788135348
PPjCX,HN_2_H,0.1504531392860926
PPjCX,HN_2_L,-0.3420377028685566
PPjCX,HN_3_H,0.08181209614823004
PPjCX,HN_3_L,-0.08781565328693341
PPjCX,HN_4,0.0002574724973416487
PPjCX,HN_5,-4.4127359398515864e-05
PPjCX,HN_6,-0.0009026214055518622
PPjCX,HN_7,-0.0002168886194442443
PPjCX,HN_9,1.1282014555913378e-05
PPjCX,HP_1_L,0.046778876137612446
PPjCX,HP_1_H,-0.019350500011535043
PPjCX,HP_2,7.911123629078531e-05
PPjCX,HP_3_L,-0.01705038226920541
PPjCX,HP_3_H,0.08991306708519176
PPjCX,HP_4,0.00033153963370136097
PPjCX,HP_5,0.0006062658805312537
PPjCX,HP_6,0.00013868814514061967
PPjCX,HP_7_H,0.03753647994530329
PPjCX,HP_7_L,-0.06920007309842635
PPjCX,HP_9,7.78111493104916e-06
PPjCX,LN_1,-0.0004124211825788926
PPjCX,LN_2,8.937543872500342e-05
PPjCX,LN_3,-4.5999944292329786e-05
PPjCX,LN_4,-3.343058254889897e-05
PPjCX,LN_5,8.568638533157369e-05
PPjCX,LN_6,0.00014013298398118934
PPjCX,LN_7_N,0.07596661447427255
PPjCX,LN_7_P,-0.14737413807009592
PPjCX,LN_9,-0.000146912771795904
PPjCX,LP_1,0.00011750422284428907
PPjCX,LP_2,-7.336665310520019e-05
PPjCX,LP_3,0.0008095961414102959
PPjCX,LP_4,0.001126861698713899
PPjCX,LP_5,0.002703858878632559
PPjCX,LP_6,-2.7098774489697774e-05
PPjCX,LP_7,9.894573392177364e-06
PPjCX,LP_9,0.0009284002857921081
tMGNS,HN_1,0.0099011711151471
tMGNS,HN_2_H,0.17966272272029915
tMGNS,HN_2_L,-0.45036571316296836
tMGNS,HN_3_H,0.13559125198135824
tMGNS,HN_3_L,-0.08845319102583371
tMGNS,HN_4,0.00019687149637759305
tMGNS,HN_5,0.00034946103690902675
tMGNS,HN_6,0.00025126758918503356
tMGNS,HN_7,0.00017988972283067284
tMGNS,HN_9,-9.785398728645589e-06
tMGNS,HP_1_L,0.08929450104764225
tMGNS,HP_1_H,-0.03965877618890534
tMGNS,HP_2,-0.00017886416153434226
tMGNS,HP_3_L,-0.0389783462974056
tMGNS,HP_3_H,0.3013621703590066
tMGNS,HP_4,0.0013084793900994818
tMGNS,HP_5,0.0006935027980556896
tMGNS,HP_6,0.0004242669789782383
tMGNS,HP_7_H,0.08169905395545163
tMGNS,HP_7_L,-0.14130884251113507
tMGNS,HP_9,1.2349359803653925e-05
tMGNS,LN_1,1.03147180654517e-05
tMGNS,LN_2,5.235506108913768e-05
tMGNS,LN_3,3.195999455041232e-05
tMGNS,LN_4,0.00030081295762496296
tMGNS,LN_5,-0.00015839898485214832
tMGNS,LN_6,-5.0830020512648844e-05
tMGNS,LN_7_N,0.09110681068198456
tMGNS,LN_7_P,-0.1764570079821075
tMGNS,LN_9,-0.00010243420006883497
tMGNS,LP_1,0.00027555213233609877
tMGNS,LP_2,2.5463204524456273e-05
tMGNS,LP_3,-0.00021181695955174717
tMGNS,LP_4,-0.00032490429818743394
tMGNS,LP_5,0.0010759780629512328
tMGNS,LP_6,8.073967481259103e-06
tMGNS,LP_7,-8.737717115092636e-05
